time U-r Ur_err r-J rJ_err r-H rH_err r-K rK_err
2.72331987724 0.549278964847 0.047688662862 1.0 1.0 1.0 1.0 1.0 1.0
2.73665987724 0.557354045739 0.0476886654582 1.0 1.0 1.0 1.0 1.0 1.0
2.74039987724 0.563375095404 0.0486886661861 1.0 1.0 1.0 1.0 1.0 1.0
3.71507987724 0.552493663127 0.0500123103038 1.0 1.0 1.0 1.0 1.0 1.0
3.71880987725 0.514458959586 0.0490123105548 1.0 1.0 1.0 1.0 1.0 1.0
3.73216987724 0.578334659505 0.048012311454 1.0 1.0 1.0 1.0 1.0 1.0
3.73589987724 0.571299955965 0.0500123117051 1.0 1.0 1.0 1.0 1.0 1.0
5.74144987724 0.700240631057 0.0505029385027 1.0 1.0 1.0 1.0 1.0 1.0
5.74518987724 0.712121101772 0.0505029376277 1.0 1.0 1.0 1.0 1.0 1.0
6.76316987725 0.700067732683 0.0473982315323 1.0 1.0 1.0 1.0 1.0 1.0
6.76690987725 0.678966245468 0.048398230957 1.0 1.0 1.0 1.0 1.0 1.0
7.75926987724 0.704022639904 0.0479720117322 1.0 1.0 1.0 1.0 1.0 1.0
7.76299987725 0.706994815429 0.0479720125342 1.0 1.0 1.0 1.0 1.0 1.0
13.7362198772 1.17225972497 0.0591431028584 1.0 1.0 1.0 1.0 1.0 1.0
13.7399498772 1.1240303648 0.0681431019102 1.0 1.0 1.0 1.0 1.0 1.0
13.7560598772 1.12903975025 0.0721430978149 1.0 1.0 1.0 1.0 1.0 1.0
13.7597898772 1.17481039008 0.0861430968668 1.0 1.0 1.0 1.0 1.0 1.0
14.7328698772 1.06291428941 0.0949065432272 1.0 1.0 1.0 1.0 1.0 1.0
14.7366098772 1.21372513143 0.0779065432467 1.0 1.0 1.0 1.0 1.0 1.0
15.7367298772 1.12367610793 0.0687171679081 1.0 1.0 1.0 1.0 1.0 1.0
15.7404598772 1.13852007795 0.0697171686412 1.0 1.0 1.0 1.0 1.0 1.0
16.7393898772 1.30048818473 0.091656909075 1.0 1.0 1.0 1.0 1.0 1.0
17.7379998772 1.21644945555 0.274693923774 1.0 1.0 1.0 1.0 1.0 1.0
17.7417298772 1.2112975021 0.208693924481 1.0 1.0 1.0 1.0 1.0 1.0
20.7407398772 1.82272186922 0.0728025523767 1.0 1.0 1.0 1.0 1.0 1.0
20.7444698772 1.80855127223 0.0878025524895 1.0 1.0 1.0 1.0 1.0 1.0
24.7434298772 2.19867002086 0.112832991202 1.0 1.0 1.0 1.0 1.0 1.0
26.7466398772 2.04753377862 0.142764308809 1.0 1.0 1.0 1.0 1.0 1.0
28.7322198772 2.10805592675 0.110088299008 1.0 1.0 1.0 1.0 1.0 1.0
-5.29335012276 1.0 1.0 1.03355940679 0.025658835981 1.0 1.0 1.0 1.0
-3.28335012276 1.0 1.0 0.958318078803 0.0325061738296 1.0 1.0 1.0 1.0
-2.28235012275 1.0 1.0 0.930877891726 0.0280340721989 1.0 1.0 1.0 1.0
-1.29735012276 1.0 1.0 0.897569021631 0.0265610602826 1.0 1.0 1.0 1.0
-0.25735012276 1.0 1.0 0.855567733849 0.0679643365354 1.0 1.0 1.0 1.0
1.72964987724 1.0 1.0 0.852972925035 0.0304683125727 1.0 1.0 1.0 1.0
2.70864987724 1.0 1.0 0.870575038149 0.0346886600069 1.0 1.0 1.0 1.0
3.80364987724 1.0 1.0 0.963101819674 0.0370123162651 1.0 1.0 1.0 1.0
