time U-V UV_err U-B UB_err r-J rJ_err r-H rH_err r-K rK_err V-J VJ_err V-H VH_err V-K VK_err U-r Ur_err u-V uV_err
0.6481183447831427 "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0.9611112042416508 0.05788372928484216 "" "" "" ""
0.6481183447831427 "" "" "" "" "" "" "" "" "" "" 0.7678957129574249 0.032883729284842164 "" "" "" "" "" "" "" ""
0.828442581492709 "" "" 0.11347778795066682 0.10888820705696693 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
0.8434025814931374 "" "" "" "" 0.45000337368279913 0.05234909510654792 "" "" "" "" "" "" "" "" "" "" "" "" "" ""
0.8434025814931374 "" "" "" "" "" "" 0.6303372559091499 0.06734909510654792 "" "" "" "" "" "" "" "" "" "" "" ""
0.8659911448339699 "" "" "" "" "" "" -0.0928119937111467 0.11849953323068997 "" "" "" "" "" "" "" "" "" "" "" ""
0.8659911448339699 "" "" "" "" "" "" "" "" 0.09168135317794834 0.12549953323068996 "" "" "" "" "" "" "" "" "" ""
0.9164025814970955 "" "" "" "" "" "" "" "" 0.6215783463043059 0.10233779830744465 "" "" "" "" "" "" "" "" "" ""
1.0195925814914517 "" "" 0.027632096956788754 0.10002889076614513 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
1.6227268284055754 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 1.3572538834820351 0.13299653186950755
1.868991144838219 "" "" "" "" "" "" -0.14575220176399054 0.049515820567738816 "" "" "" "" "" "" "" "" "" "" "" ""
1.868991144838219 "" "" "" "" -0.12342772306259903 0.040515820567738815 "" "" "" "" "" "" "" "" "" "" "" "" "" ""
1.868991144838219 "" "" "" "" "" "" "" "" -0.006258854874895414 0.057515820567738817 "" "" "" "" "" "" "" "" "" ""
1.9959825814949 "" "" 0.1927695211238561 0.10326225596100053 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
1.9996225814902573 "" "" 0.2326731049623721 0.10026312595076786 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
2.028402581490809 "" "" "" "" "" "" 0.5287162815427023 0.0669502884855528 "" "" "" "" "" "" "" "" "" "" "" ""
2.028402581490809 "" "" "" "" 0.49538239931635003 0.052950288485552804 "" "" "" "" "" "" "" "" "" "" "" "" "" ""
2.034872581491072 "" "" 0.19423630017178334 0.10346339462318149 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
2.0484025814948836 "" "" "" "" "" "" "" "" 0.6381008421098626 0.1959520055705603 "" "" "" "" "" "" "" "" "" ""
2.6185583447877434 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 1.8642616034306778 0.044735916041382245
2.6222161822443013 "" "" "" "" "" "" "" "" "" "" "" "" 0.4863035350799843 0.14799043628365782 "" "" "" "" "" ""
2.6222161822443013 "" "" "" "" "" "" "" "" "" "" 0.5438399716531613 0.09499043628365783 "" "" "" "" "" "" "" ""
2.922402581491042 "" "" "" "" "" "" "" "" 0.41802551875466626 0.09102704218543572 "" "" "" "" "" "" "" "" "" ""
2.922402581491042 "" "" "" "" "" "" 0.4754790514745394 0.07002704218543572 "" "" "" "" "" "" "" "" "" "" "" ""
2.922402581491042 "" "" "" "" 0.5191451692481888 0.048027042185435714 "" "" "" "" "" "" "" "" "" "" "" "" "" ""
3.6692161822429625 "" "" "" "" "" "" "" "" "" "" 0.5676704102986335 0.06148458983087998 "" "" "" "" "" "" "" ""
3.6692161822429625 "" "" "" "" "" "" "" "" "" "" "" "" 0.530133973725456 0.15648458983087998 "" "" "" "" "" ""
3.6692161822429625 "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0.8150489785257682 0.20648458983087997 "" "" "" ""
3.797132460436842 "" "" "" "" "" "" "" "" "" "" "" "" -0.05071761908313033 0.1887126900196982 "" "" "" "" "" ""
3.797132460436842 "" "" "" "" "" "" "" "" "" "" 0.19781316924951478 0.022712690019698216 "" "" "" "" "" "" "" ""
3.797132460436842 "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0.2286533825083319 0.05871269001969821 "" "" "" ""
3.799991144835076 "" "" "" "" "" "" -0.05655218826905209 0.04854145224388659 "" "" "" "" "" "" "" "" "" "" "" ""
3.799991144835076 "" "" "" "" 0.004772290432339121 0.036541452243886594 "" "" "" "" "" "" "" "" "" "" "" "" "" ""
3.799991144835076 "" "" "" "" "" "" "" "" 0.19394115862004369 0.05054145224388659 "" "" "" "" "" "" "" "" "" ""
4.007462581495929 "" "" 0.536232848656083 0.16884987444050936 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
4.011102581491286 "" "" -0.040953306873828754 0.1278499957239815 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
4.94709258149669 "" "" 0.11263883601750885 0.19712799232840414 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
4.950732581492048 "" "" 0.3693911762659344 0.2211285089370036 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
4.989402581493778 "" "" "" "" "" "" 0.49415268603206564 0.06665379720258542 "" "" "" "" "" "" "" "" "" "" "" ""
4.989402581493778 "" "" "" "" "" "" "" "" 0.6956991533121928 0.08365379720258542 "" "" "" "" "" "" "" "" "" ""
4.989402581493778 "" "" "" "" 0.5828188038057132 0.04765379720258542 "" "" "" "" "" "" "" "" "" "" "" "" "" ""
