3130 4.5735 -3.645
3135 4.5922 -3.426
3140 4.5860 -3.182
3145 4.5636 -2.900
3150 4.5498 -2.663
3155 4.5282 -2.428
3160 4.5029 -2.218
3165 4.4779 -2.069
3170 4.4457 -1.955
3175 4.4044 -1.847
3180 4.3473 -1.709
3185 4.2810 -1.609
3190 4.2076 -1.581
3195 4.1230 -1.591
3200 4.0263 -1.561
3205 3.9203 -1.490
3210 3.8173 -1.429
3215 3.7210 -1.445
3220 3.6319 -1.492
3225 3.5481 -1.494
3230 3.4662 -1.421
3235 3.3896 -1.325
3240 3.3367 -1.263
3245 3.3155 -1.261
3250 3.3163 -1.299
3255 3.3299 -1.350
3260 3.3518 -1.402
3265 3.3790 -1.463
3270 3.4108 -1.527
3275 3.4367 -1.563
3280 3.4497 -1.561
3285 3.4639 -1.549
3290 3.4935 -1.550
3295 3.5380 -1.583
3300 3.5936 -1.627
3305 3.6684 -1.643
3310 3.7684 -1.642
3315 3.8914 -1.672
3320 4.0285 -1.735
3325 4.1696 -1.795
3330 4.3077 -1.847
3335 4.4336 -1.891
3340 4.5310 -1.928
3345 4.5873 -1.950
3350 4.6044 -1.945
3355 4.5939 -1.909
3360 4.5717 -1.845
3365 4.5544 -1.762
3370 4.5524 -1.677
3375 4.5727 -1.613
3380 4.6172 -1.570
3385 4.6812 -1.561
3390 4.7629 -1.598
3395 4.8579 -1.639
3400 4.9522 -1.631
3405 5.0428 -1.614
3410 5.1448 -1.633
3415 5.2325 -1.808
3420 5.3284 -1.963
3425 5.4270 -2.111
3430 5.5323 -2.277
3435 5.6474 -2.460
3440 5.7728 -2.635
3445 5.9015 -2.798
3450 6.0145 -2.972
3455 6.0935 -3.157
3460 6.1317 -3.317
3465 6.1425 -3.418
3470 6.1544 -3.462
3475 6.1868 -3.459
3480 6.2373 -3.412
3485 6.3019 -3.349
3490 6.3937 -3.272
3495 6.4996 -3.202
3500 6.6161 -3.056
3505 6.7257 -2.845
3510 6.8259 -2.633
3515 6.9170 -2.480
3520 6.9960 -2.389
3525 7.0625 -2.338
3530 7.1263 -2.317
3535 7.1947 -2.337
3540 7.2611 -2.413
3545 7.3162 -2.535
3550 7.3624 -2.664
3555 7.4150 -2.765
3560 7.4838 -2.823
3565 7.5729 -2.855
3570 7.6364 -2.813
3575 7.6725 -2.721
3580 7.6839 -2.611
3585 7.6765 -2.519
3590 7.6591 -2.499
3595 7.6201 -2.537
3600 7.5750 -2.608
3605 7.5430 -2.670
3610 7.4811 -2.566
3615 7.3860 -2.222
3620 7.3008 -1.691
3625 7.2176 -1.007
3630 7.1433 -0.301
3635 7.0538  0.411
3640 6.9495  1.138
3645 6.8347  1.855
3650 6.6806  2.558
3655 6.5430  3.054
3660 6.3867  3.409
3665 6.2130  3.646
3670 6.0308  3.751
3675 5.8435  3.689
3680 5.6510  3.451
3685 5.4493  3.084
3690 5.2344  2.678
3695 5.0081  2.320
3700 4.7828  2.030
3705 4.5788  1.772
3710 4.4104  1.513
3715 4.2804  1.252
3720 4.1901  0.997
3725 4.1442  0.742
3730 4.1436  0.468
3735 4.1795  0.155
3740 4.2411 -0.193
3745 4.3154 -0.547
3750 4.3875 -0.888
3755 4.4388 -1.194
3760 4.4593 -1.453
3765 4.4522 -1.660
3770 4.4291 -1.799
3775 4.4065 -1.855
3780 4.3957 -1.856
3785 4.4009 -1.858
3790 4.4269 -1.894
3795 4.4728 -1.941
3800 4.5367 -1.974
3805 4.6191 -1.980
3810 4.7261 -1.957
3815 4.8623 -1.900
3820 5.0276 -1.804
3825 5.2209 -1.675
3830 5.4446 -1.527
3835 5.7027 -1.377
3840 5.9990 -1.245
3845 6.3304 -1.132
3850 6.6860 -1.013
3855 7.0489 -0.841
3860 7.4010 -0.596
3865 7.7288 -0.316
3870 8.0322 -0.050
3875 8.3034  0.183
3880 8.5468  0.410
3885 8.7029  0.647
3890 8.8042  0.844
3895 8.9315  0.961
3900 9.0540  1.006
3905 9.1692  0.989
3910 9.2834  0.981
