time U-B UB_err r-J rJ_err r-H rH_err r-K rK_err u-B uB_err sn
-7.225772450641671 "" "" "" "" 0.8757082805873734 0.15680540403669874 "" "" "" "" SN_2008D
-7.225772450641671 "" "" 0.7161589387186134 0.10680540403669873 "" "" "" "" "" "" SN_2008D
-7.138945873324701 "" "" "" "" "" "" 2.7060945874558033 0.2635605257906377 "" "" SN_2005hg
-7.138945873324701 "" "" 0.7122405214271386 0.05956052579063771 "" "" "" "" "" "" SN_2005hg
-7.138945873324701 "" "" "" "" 0.8621496047293007 0.10656052579063771 "" "" "" "" SN_2005hg
-6.933685873322247 0.28737368443591954 0.15800860457370947 "" "" "" "" "" "" "" "" SN_2005hg
-6.804188263158721 0.2873737828445836 0.08932923287368172 "" "" "" "" "" "" "" "" SN_2004gq
-6.244336421252228 "" "" 0.72421934376071 0.05660309189039821 "" "" "" "" "" "" SN_2007uy
-6.244336421252228 "" "" "" "" 0.9246225975271184 0.07660309189039821 "" "" "" "" SN_2007uy
-6.244336421252228 "" "" "" "" "" "" 2.795352639990586 0.09860309189039822 "" "" SN_2007uy
-6.195772450642835 "" "" 0.7162665461678622 0.07649894048732904 "" "" "" "" "" "" SN_2008D
-6.195772450642835 "" "" "" "" "" "" 2.6319028820294683 0.09649894048732904 "" "" SN_2008D
-6.195772450642835 "" "" "" "" 0.8777421005600314 0.07649894048732904 "" "" "" "" SN_2008D
-6.115945873323653 "" "" 0.7131087713933205 0.054203336146495716 "" "" "" "" "" "" SN_2005hg
-6.115945873323653 "" "" "" "" 0.8665231519408919 0.10020333614649571 "" "" "" "" SN_2005hg
-6.115945873323653 "" "" "" "" "" "" 2.6977612319843973 0.11820333614649571 "" "" SN_2005hg
-5.908825873324531 0.28737371160655073 0.09263253781381425 "" "" "" "" "" "" "" "" SN_2005hg
-5.843648263158684 0.2873737515218049 0.08649794108603309 "" "" "" "" "" "" "" "" SN_2004gq
-5.330336421255197 "" "" "" "" "" "" 2.7902117809604223 0.07087348880831496 "" "" SN_2007uy
-5.330336421255197 "" "" "" "" 0.9237115724741503 0.06987348880831495 "" "" "" "" SN_2007uy
-5.330336421255197 "" "" 0.7239486502807035 0.04487348880831496 "" "" "" "" "" "" SN_2007uy
-5.293350122759875 "" "" "" "" 0.8198513061957327 0.06565883598103035 "" "" "" "" SN_2005bf
-5.293350122759875 "" "" "" "" "" "" 0.6781196489075887 0.04765883598103035 "" "" SN_2005bf
-5.293350122759875 "" "" 0.7087913648813369 0.025658835981030352 "" "" "" "" "" "" SN_2005bf
-5.235772450643708 "" "" 0.7162255471776952 0.046103763420561425 "" "" "" "" "" "" SN_2008D
-5.235772450643708 "" "" "" "" "" "" 2.6570644028500854 0.15610376342056143 "" "" SN_2008D
-5.235772450643708 "" "" "" "" 0.8754188967643675 0.18610376342056142 "" "" "" "" SN_2008D
-5.168940122755885 0.2873734594203813 0.05383565759180239 "" "" "" "" "" "" "" "" SN_2005bf
-5.165200122755778 0.28737348527804535 0.056835659531887815 "" "" "" "" "" "" "" "" SN_2005bf
