time U-B UB_err SN r-J rJ_err r-H rH_err r-K rK_err
3.6961767307730042 "" "" SN_2005kl 0.4931933222871396 0.053206703364409 0.22195253058290615 0.19420670334274454 "" ""
3.766873269167263 0.698051475167021 0.3059791808689505 SN_2005mf "" "" "" "" "" ""
4.407488876859134 "" "" SN_2007D -1.2267820813043897 0.35716762152925874 "" "" "" ""
4.586158190490096 0.39536054211557814 0.08908042614965311 SN_2006aj "" "" "" "" "" ""
4.592759829487477 0.13814544034686643 0.13661123670894695 SN_2004aw "" "" "" "" "" ""
5.580263269170246 "" "" SN_2005mf 1.0705165764314255 0.0660965103582832 1.2805309425659532 0.1110965111677619 1.3332709607277653 0.3680965105009851
5.611378190485993 "" "" SN_2006aj 0.9182462770134552 0.042173695249430695 1.2151911790408685 0.06117369558028248 1.113263885994791 0.10417369508276046
5.628438190491579 0.28592861624209465 0.09318335778396242 SN_2006aj "" "" "" "" "" ""
5.837493269165861 0.9273815000322412 0.38636391151251687 SN_2005mf "" "" "" "" "" ""
6.574263269169023 "" "" SN_2005mf 1.1487328001759127 0.07736404006525693 1.155747166310441 0.20136404106486622 1.830487184472253 0.17436404022965876
7.420981772585947 0.6366869909695136 0.03491390216462974 SN_2007gr 1.0298569209965367 0.044959820697241 1.2311944985830243 0.04395982069750479 "" ""
7.567263269171235 "" "" SN_2005mf 1.2672562644806387 0.08532021280747787 1.372270630615166 0.08032021394959182 1.60401064877698 0.1363202129881529
8.414488876856922 "" "" SN_2007D -0.5383833083217808 0.36755752721944823 "" "" "" ""
8.421371772587008 "" "" SN_2007gr 1.101526601850342 0.02894853915472216 1.3228641794368292 0.18994853915495663 1.3605978601682969 0.02594853915465999
8.564263269166986 "" "" SN_2005mf 1.2107457971147564 0.050195236485013096 1.2617601632492852 0.10919523775634281 1.8795001814110985 0.0881952366804834
8.693176730776031 "" "" SN_2005kl 0.6335265623079962 0.04641713157835778 "" "" "" ""
9.697176730776846 "" "" SN_2005kl "" "" 0.7503210274055678 0.17642434684809236 "" ""
9.741263269170304 "" "" SN_2005mf 1.2366425894911888 0.04922787993897025 1.5056569556257176 0.05622788147302313 1.8333969737875282 0.20422788016508092
11.440191772584512 0.8271449987274266 0.03417854586360168 SN_2007gr "" "" "" "" "" ""
11.560263269166171 "" "" SN_2005mf 1.1709267685247002 0.08253260061160933 1.4519411346592295 0.10153260222545439 2.089681152821042 0.28053260084667286
11.671176730778825 "" "" SN_2005kl "" "" 0.9049991539982514 0.14866076159499686 "" ""
12.231123546298477 "" "" SN_2007I 0.550779182946918 0.06042526106661492 0.500365563765606 0.06842526105783261 0.7466912853239202 0.07842526106449751
12.374751772586023 0.8686043016994578 0.03525105207042599 SN_2007gr "" "" "" "" "" ""
12.413371772585378 "" "" SN_2007gr 1.173832351030102 0.03906930072216495 1.4491699286165896 0.04006930072271562 1.605903609348057 0.04206930072209922
12.663263269168965 "" "" SN_2005mf 1.2852729216857515 0.05706603977942512 1.6562872878202806 0.09806604147247083 1.8830273059820921 0.252066040023715
13.411371772584971 "" "" SN_2007gr 1.207115160827746 0.2650383372910836 1.5694527384142332 0.03403833729154991 "" ""
13.450151772580284 0.8494825046086394 0.03532335806715113 SN_2007gr "" "" "" "" "" ""
13.557263269169198 "" "" SN_2005mf 1.4354659987687934 0.0777078702538911 1.561480364903325 0.12070787204298797 2.1422203830651356 0.12770787050928503
14.409881772582594 0.795622202275025 0.03739604059119137 SN_2007gr "" "" "" "" "" ""
14.421371772587008 "" "" SN_2007gr 1.2057583733975863 0.028997097002782843 1.4800959509840725 0.029997097003137227 "" ""
14.540263269169373 "" "" SN_2005mf 1.380963802384161 0.06436757835368032 1.554978168518691 0.10136758024133657 1.8997181866805046 0.14036757862044646
15.38367177258624 0.8666363053498181 0.03547258313575617 SN_2007gr "" "" "" "" "" ""
15.408371772580722 "" "" SN_2007gr 1.188840654095568 0.02696972641622918 1.513178231682055 0.18996972641650806 1.5779119124135237 0.029969726416159012
16.40171177258162 0.818953789461899 0.03655243480027146 SN_2007gr 1.2076407027028593 0.026960282357563415 1.5159782802893462 0.030960282357818322 1.718711961020813 0.08796028235749236
17.402501772579853 0.8082287573868729 0.03763633598522218 SN_2007gr 1.2859342038779895 0.26496960185343266 1.6042717814644762 0.041969601853709765 1.7180054621959444 0.033969601853361606
18.448111772580887 0.928375730640628 0.03971297949772055 SN_2007gr "" "" "" "" "" ""
18.632263269166288 "" "" SN_2005mf "" "" 1.2921141679487678 0.13515876842599986 1.97585418611058 0.15315876657413008
18.653176730775158 "" "" SN_2005kl 0.8082914200843276 0.05178408385728869 1.0800506283800952 0.09878408383554786 1.2761816315900367 0.1157839988758588
20.573263269172458 "" "" SN_2005mf 1.541213149189981 0.07678763565551724 "" "" 1.895967533486323 0.27178763596296374
21.557263269169198 "" "" SN_2005mf 1.2457929414631603 0.11542378825569692 1.5878073075976895 0.1664237905856305 2.1335473257595 0.2124237885739721
21.648176730777777 "" "" SN_2005kl 0.9455295467737705 0.05287830910868027 1.1402887550695364 0.11287830908692878 1.0254197582794797 0.16387822476094968
22.162123546295334 "" "" SN_2007I 0.9744090208215962 0.06705058410292439 1.0569954016402867 0.14405058409254512 1.3453211231986026 0.213050584100473
22.63817673077574 "" "" SN_2005kl 0.850939719465521 0.051936960424765005 "" "" 1.0138299309712304 0.14993687647146559
23.162123546295334 "" "" SN_2007I 0.9390803854264074 0.0671838219852515 1.132666766245095 0.2131838219747692 1.2259924878034107 0.09318382198276104
23.361151772580342 0.8277497049559113 0.042766166020980795 SN_2007gr "" "" "" "" "" ""
23.407371772584156 "" "" SN_2007gr 1.2452681071608682 0.035080004756805824 1.6936056847473557 0.02708000475738136 1.6253393654788235 0.03808000475673832
23.637176730779174 "" "" SN_2005kl 0.9424166486312255 0.07196912966938779 1.2011758569269932 0.09996912964762565 1.121306860136935 0.13596904593243087
24.196123546294984 "" "" SN_2007I 0.8914081818292838 0.2883739775472556 0.9609945626479729 0.10637397753662586 1.4963202842062886 0.08537397754473315
25.230123546294635 "" "" SN_2007I 0.9745221571961157 0.06430263547673062 1.1801085380148038 0.21330263546607248 1.274434259573117 0.0963026354742384
25.631176730777952 "" "" SN_2005kl 0.8392910867707133 0.04910082961455062 1.284050295066481 0.2701008295927725 1.3831812982764229 0.11410074676325857
26.627176730777137 "" "" SN_2005kl 1.0139904334113818 0.0741743748340064 1.1927496417071477 0.1031743748122194 "" ""
27.223123546296847 "" "" SN_2007I 0.8920604441501285 0.06151091026500042 1.0616468249688154 0.08551091025494446 1.4409725465271324 0.07751091026268761
28.38737177258008 "" "" SN_2007gr 1.2682217177753154 0.03421084252062455 1.711559295361804 0.04121084252154203 1.7042929760932717 0.1902108425205526
28.624176730772888 "" "" SN_2005kl 0.9167755827105484 0.12326851088460368 1.074534791006317 0.11526851086280246 1.5866657942162574 0.18526842916091632
29.35537177258084 "" "" SN_2007gr 1.2545492600436747 0.02821594962008521 1.7088868376301625 0.05821594962101602 1.6816205183616306 0.19021594962001415
29.433631772582885 0.7538998694169656 0.04795285478564679 SN_2007gr "" "" "" "" "" ""
29.626176730773295 "" "" SN_2005kl "" "" 1.15870605367422 0.16129535557346483 1.7228370568841618 0.12829527405210095
30.373371772584505 "" "" SN_2007gr 1.2135141920725447 0.1902415338064502 1.594851769659032 0.0552415338074503 1.7305854503905005 0.04024153380638005
30.387601772585185 0.6657187805697582 0.04298731631414962 SN_2007gr "" "" "" "" "" ""
30.624176730772888 "" "" SN_2005kl 0.9641604940737458 0.06628342464434196 1.0449197023695127 0.11028342462253896 "" ""
31.35412354629807 "" "" SN_2007I 0.8679677712467497 0.21216121502938562 "" "" "" ""
32.21012354629784 "" "" SN_2007I 1.171907815865882 0.05972133294181579 1.12149419668457 0.212721332931941 1.5748199182428886 0.09072133293937862
34.608176730776904 "" "" SN_2005kl "" "" 1.2764256273727923 0.2984443172942419 1.7515566305827337 0.17544423677457807
37.30637177258177 "" "" SN_2007gr 1.1491575040116795 0.03130762779543071 1.6394950815981668 0.03130762779661199 1.7812287623296337 0.0893076277953641
37.32028177258326 0.5146233733126433 0.04107233994416257 SN_2007gr "" "" "" "" "" ""
39.39881177258212 0.5072822164258284 0.039985367895073766 SN_2007gr "" "" "" "" "" ""
40.2943717725866 "" "" SN_2007gr 1.163025060149508 0.035280250057966075 1.6323626377359963 0.045280250059076294 1.6900963184674636 0.043280250057900344
41.44359177258593 0.42643661430307134 0.04406374708807989 SN_2007gr "" "" "" "" "" ""
43.31937177258078 "" "" SN_2007gr 1.101116137070987 0.1903678749120587 1.627453714657474 0.032367874913402525 1.5711873953889421 0.049367874911993875
43.350171772581234 0.4581895013923969 0.04212477548221191 SN_2007gr "" "" "" "" "" ""
44.310371772582585 "" "" SN_2007gr 1.1270376966836955 0.19036129236087013 1.5243752742701828 0.26536129236219796 1.4881089550016506 0.03236129236080619
44.41125177258073 0.4509968846557406 0.04112227275800093 SN_2007gr "" "" "" "" "" ""
45.32237177258503 "" "" SN_2007gr 1.114884145785336 0.03536345517604954 1.5712217233718226 0.043363455177383575 1.4069554041032903 0.055363455175985586
46.32937177258282 "" "" SN_2007gr 1.1123282130909777 0.03036858210250802 1.6296657906774643 0.0343685821038545 1.5273994714089314 0.03136858210244407
47.28837177258538 "" "" SN_2007gr 1.0853742767638208 0.026369383008956738 1.5897118543503093 0.265369383010305 1.3554455350817767 0.036369383008891906
52.43148887685675 "" "" SN_2007D 1.540394567411176 0.34201332812689067 "" "" 1.0558123563035038 0.44901332812689065
53.42148887685471 "" "" SN_2007D "" "" "" "" 2.120881442431477 0.3550557855169051
54.428488876859774 "" "" SN_2007D 0.6240316039645954 0.34207141960926 "" "" 2.291449392856924 0.35507141960926003
55.42348887685512 "" "" SN_2007D 0.0615433493505535 0.38310183373594914 "" "" "" ""
