time U-B UB_err r-J rJ_err r-H rH_err r-K rK_err SN
8.467582251680142 "" "" "" "" "" "" 1.970631357961294 0.09190941680128745 SN_2005mf
8.467582251680142 "" "" "" "" 1.3839413160549767 0.11290941933733882 "" "" SN_2005mf
8.467582251680142 "" "" 1.30017121558971 0.05390941680128745 "" "" "" "" SN_2005mf
9.633650037874759 "" "" "" "" "" "" 1.7853319597929787 0.08260134903933133 SN_2007I
9.633650037874759 "" "" 1.3701157553201655 0.06460134903535583 "" "" "" "" SN_2007I
9.633650037874759 "" "" "" "" 1.4658624768554975 0.07260134903592783 "" "" SN_2007I
9.64458225168346 "" "" "" "" 1.627569117072931 0.06047154922741246 "" "" SN_2005mf
9.64458225168346 "" "" "" "" "" "" 1.9242591589792455 0.2084715470889435 SN_2005mf
9.64458225168346 "" "" 1.3257990166076643 0.053471547088943513 "" "" "" "" SN_2005mf
11.256363726126438 0.8912988073457688 0.34539003886619735 "" "" "" "" "" "" SN_2005nb
11.440174601295439 0.8325751498480571 0.03419244645965723 "" "" "" "" "" "" SN_2007gr
11.76789293638285 "" "" "" "" 0.6362746830916562 0.20943111016077803 "" "" SN_2007ce
11.76789293638285 "" "" "" "" "" "" 1.8435092209838453 0.11443113052525614 SN_2007ce
11.76789293638285 "" "" 0.880485702633733 0.10643113052525614 "" "" "" "" SN_2007ce
